City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,invercargill,-46.4,168.35,11.12,81,99,2.24,NZ,1715060803
162,longyearbyen,78.2186,15.6401,-3.09,74,75,3.6,SJ,1715060803
163,merizo village,13.2658,144.6691,30.37,79,84,5.75,GU,1715060804
164,arkhara,49.4212,130.0842,18.2,27,1,4.47,RU,1715060805
165,mount pearl,47.5166,-52.7813,3.06,93,100,7.72,CA,1715060805
166,entebbe,0.0644,32.4469,23.18,94,40,1.03,UG,1715060806
167,glace bay,46.1969,-59.957,5.84,96,100,1.54,CA,1715060807
168,vera cruz,-12.6333,-41.0333,16.81,96,49,0.77,BR,1715060807
169,fort bragg,35.139,-79.006,20.19,90,0,2.57,US,1715060808
170,bandarbeyla,9.4942,50.8122,30.16,68,25,2.74,SO,1715060809
171,la esperanza,14.8667,-91.5667,12.37,96,68,2.21,GT,1715060809
172,polyarnyy,69.1989,33.4478,-1.55,78,93,10.63,RU,1715060811
173,hun,29.1268,15.9477,22.9,24,17,4.02,LY,1715060812
174,sinop,41.7711,34.8709,7.24,51,0,1.25,TR,1715060813
175,usinsk,65.9939,57.5281,-1.14,77,100,9.69,RU,1715060813
176,mejit,10.2753,170.8646,27.54,81,88,8.64,MH,1715060815
177,vila velha,-20.3297,-40.2925,20.97,100,0,1.03,BR,1715060816
178,kapuskasing,49.4169,-82.4331,4.0,93,0,0.0,CA,1715060817
179,punta arenas,-53.15,-70.9167,1.06,93,75,2.57,CL,1715060602
180,salinopolis,-0.6136,-47.3561,26.03,90,100,3.48,BR,1715060819
181,labrador city,52.9463,-66.9114,0.93,78,100,3.6,CA,1715060712
182,ribeira grande,38.5167,-28.7,18.21,95,11,5.36,PT,1715060821
183,praia,14.9215,-23.5087,22.3,40,0,2.06,CV,1715060725
184,fort-shevchenko,44.5086,50.263,16.61,53,100,8.62,KZ,1715060822
185,saint-pierre,-21.3393,55.4781,25.82,65,20,10.29,RE,1715060718
186,carnarvon,-24.8667,113.6333,24.67,41,0,7.87,AU,1715060823
187,red deer,52.2668,-113.802,5.3,93,100,7.72,CA,1715060702
188,nogliki,51.8333,143.1667,1.3,66,89,4.47,RU,1715060825
189,thompson,55.7435,-97.8558,7.09,70,20,3.6,CA,1715060826
190,ilulissat,69.2167,-51.1,-5.99,68,100,5.14,GL,1715060827
191,kununurra,-15.7667,128.7333,31.99,31,76,4.12,AU,1715060793
192,iqaluit,63.7506,-68.5145,-7.15,79,20,5.66,CA,1715060828
193,vondrozo,-22.8167,47.2833,18.27,92,58,0.64,MG,1715060829
194,dudinka,69.4058,86.1778,-7.43,90,96,3.28,RU,1715060829
195,beau vallon,-20.4189,57.6953,26.14,65,20,5.66,MU,1715060830
196,korla,41.7597,86.1469,29.45,13,100,5.4,CN,1715060830
197,toliara,-23.35,43.6667,26.19,46,0,3.47,MG,1715060831
198,holualoa,19.6228,-155.9522,19.75,94,75,6.69,US,1715060832
199,port saint john's,-31.6229,29.5448,22.82,45,0,3.74,ZA,1715060832
200,al mindak,20.1588,41.2834,19.78,23,0,2.21,SA,1715060833
201,ryl'sk,51.5655,34.6822,14.32,85,100,6.92,RU,1715060834
202,dwarka,22.2394,68.9678,30.18,68,0,5.38,IN,1715060834
203,la passe,45.5549,-0.8967,11.98,90,74,5.8,FR,1715060835
204,sangueya,10.7,-14.3667,25.32,88,72,1.67,GN,1715060836
205,nemuro,43.3236,145.575,8.08,99,100,8.27,JP,1715060837
206,burela de cabo,43.65,-7.4,10.01,87,34,1.44,ES,1715060838
207,chita,52.0333,113.55,24.94,15,83,2.0,RU,1715060701
208,mason city,43.1536,-93.201,18.02,77,100,10.8,US,1715060751
209,eirunepe,-6.6603,-69.8736,23.39,99,100,0.77,BR,1715060840
210,san fernando,15.0286,120.6898,37.85,24,39,5.44,PH,1715060840
211,qarazhal,48.0078,70.7903,19.26,53,83,7.4,KZ,1715060841
212,buenaventura,3.8801,-77.0312,24.9,96,100,1.02,CO,1715060842
213,new norfolk,-42.7826,147.0587,15.13,62,53,0.84,AU,1715060842
214,berdigestyakh,62.0989,126.6992,5.27,98,100,4.34,RU,1715060843
215,hasaki,35.7333,140.8333,20.22,78,100,11.89,JP,1715060844
216,enriquillo,17.9,-71.2333,24.53,87,2,4.03,DO,1715060844
217,caleta de carquin,-11.0925,-77.6267,18.95,92,87,3.66,PE,1715060845
218,pierre,44.3683,-100.351,10.48,72,75,6.69,US,1715060846
219,kismayo,-0.3582,42.5454,28.48,78,92,5.5,SO,1715060846
220,san patricio,28.017,-97.5169,26.06,92,2,4.57,US,1715060847
221,praia da vitoria,38.7333,-27.0667,18.14,88,75,7.19,PT,1715060848
222,machico,32.7,-16.7667,19.66,80,40,4.12,PT,1715060848
223,cochin,9.9399,76.2602,33.99,67,11,3.56,IN,1715060849
224,kailua-kona,19.6406,-155.9956,22.38,93,75,6.69,US,1715060615
225,lorengau,-2.0226,147.2712,28.95,80,88,0.8,PG,1715060850
226,atar,20.5169,-13.0499,27.34,10,90,0.82,MR,1715060851
227,oranjemund,-28.55,16.4333,14.52,81,0,1.76,NA,1715060851
